canonical_venue,t20_matches,latitude,longitude,altitude_m,boundary_straight_m_min,boundary_straight_m_max,boundary_square_m_min,boundary_square_m_max,dimensions_source,dimensions_obs_date,climate_normals_source,notes,coord_source
"Manuka Oval, Canberra",35,-35.31806,149.13472,572,,,,,,,,,wikipedia:Manuka Oval
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",34,26.77444,80.98833,119,,,,,,,,,manual:approx_known
"Tribhuvan University International Cricket Ground, Kirtipur",34,27.67806,85.27694,1397,,,,,,,,,wikipedia:Kirtipur
"JSCA International Stadium Complex, Ranchi",32,23.31010,85.27490,678,,,,,,,,,wikipedia:JSCA International Stadium Complex
"University Oval, Dunedin",31,-45.86583,170.52528,6,,,,,,,,,wikipedia:University of Otago Oval
"Gymkhana Club Ground, Nairobi",30,-1.27000,36.82736,1670,,,,,,,,,wikipedia:Gymkhana Club Ground
"Desert Springs Cricket Ground, Almeria",29,37.25269,-1.82314,60,,,,,,,,,wikipedia:Desert Springs Cricket Ground
"Brabourne Stadium, Mumbai",28,18.93222,72.82472,10,,,,,,,,,wikipedia:Brabourne Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",28,30.69086,76.73726,315,,,,,,,,,wikipedia:I. S. Bindra Stadium
"King George V Sports Ground, Castel",25,49.47250,-2.57400,20,,,,,,,,,wikipedia:King George V Sports Ground
"Holkar Cricket Stadium, Indore",24,22.72417,75.88000,556,,,,,,,,,wikipedia:Holkar Stadium
"Wanderers Cricket Ground, Windhoek",24,-22.59156,17.07176,1671,,,,,,,,,wikipedia:Wanderers Cricket Ground
"McLean Park, Napier",23,-39.50194,176.91278,6,,,,,,,,,wikipedia:McLean Park
"Queens Sports Club, Bulawayo",23,-20.14511,28.58894,1338,,,,,,,,,wikipedia:Queens Sports Club
"Buffalo Park, East London",22,-33.00671,27.91937,23,,,,,,,,,wikipedia:Buffalo Park
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",22,55.96100,-3.21300,17,,,,,,,,,wikipedia:The Grange Club
"Shaheed Veer Narayan Singh International Stadium, Raipur",22,21.20417,81.82333,300,,,,,,,,,wikipedia:Shaheed Veer Narayan Singh International Cricket Stadium
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",22,21.01357,79.03960,290,,,,,,,,,wikipedia:Vidarbha Cricket Association Stadium
"Indian Association Ground, Singapore",19,1.31790,103.85320,15,,,,,,,,,wikipedia:Indian Association Ground
"Maple Leaf North-West Ground, King City",19,43.95444,-79.50859,302,,,,,,,,,wikipedia:Maple Leaf Cricket Club
"United Cricket Club Ground, Windhoek",19,-22.60774,17.09642,1706,,,,,,,,,wikipedia:United Ground
"College Ground, Cheltenham",18,51.89111,-2.07389,71,,,,,,,,,"wikipedia:College Ground, Cheltenham"
"Amini Park, Port Moresby",17,-9.47333,147.20167,51,,,,,,,,,wikipedia:Amini Park
"Pukekura Park, New Plymouth",17,-39.06444,174.07944,43,,,,,,,,,wikipedia:Pukekura Park
"The Village, Malahide, Dublin",15,53.44930,-6.16120,13,,,,,,,,,wikipedia:Malahide Cricket Ground
"Molyneux Park, Alexandra",14,-45.24326,169.38359,153,,,,,,,,,wikipedia:Molyneux Park
"Barsapara Cricket Stadium, Guwahati",12,26.14500,91.73639,56,,,,,,,,,wikipedia:Assam Cricket Association Stadium
"Civil Service Cricket Club, Stormont, Belfast",12,54.59694,-5.83444,27,,,,,,,,,wikipedia:Stormont Cricket Ground
"Mangaung Oval, Bloemfontein",12,-29.11668,26.20527,1391,,,,,,,,,wikipedia:Mangaung Oval
"Sportpark Westvliet, The Hague",12,52.06861,4.37444,0,,,,,,,,,wikipedia:Sportpark Westvliet
"Sheikh Abu Naser Stadium, Khulna",11,22.84447,89.53735,4,,,,,,,,,wikipedia:Khulna Divisional Stadium
"Saxton Oval, Nelson",10,-41.33083,173.21278,9,,,,,,,,,wikipedia:Saxton Oval
"De Beers Diamond Oval, Kimberley",9,-28.74243,24.79772,1211,,,,,,,,,wikipedia:De Beers Diamond Oval
"Aurora Stadium, Launceston",8,-41.42583,147.13889,4,,,,,,,,,wikipedia:York Park
"Radlett Cricket Club, Radlett",8,51.67600,-0.30900,82,,,,,,,,,wikipedia:Brunton Memorial Ground
"Merchant Taylors' School Ground, Northwood",7,51.63500,-0.42417,55,,,,,,,,,"wikipedia:Merchant Taylors' School, Northwood"
"Sportpark Het Schootsveld, Deventer",7,52.25253,6.22603,7,,,,,,,,,wikipedia:Sportpark Het Schootsveld
"College Field, St Peter Port",6,49.45278,-2.54306,41,,,,,,,,,manual:approx_known
"Greenfield International Stadium, Thiruvananthapuram",5,8.57150,76.88430,37,,,,,,,,,wikipedia:Greenfield International Stadium
"International Sports Stadium, Coffs Harbour",5,-30.32278,153.09528,3,,,,,,,,,wikipedia:Coffs Harbour International Stadium
"Sportpark Maarschalkerweerd, Utrecht",5,52.07722,5.15389,2,,,,,,,,,wikipedia:Sportpark Maarschalkerweerd
"Sky Stadium, Wellington",4,-41.27306,174.78583,10,,,,,,,,,wikipedia:Wellington Regional Stadium
"Shere Bangla National Stadium, Mirpur",297,23.80692,90.36358,13,77,77,61,61,https://cricketboundary.com/grounds/shere-bangla-stadium/,,,"Satellite-measured ""straight boundary of 77 m and a square boundary of 61 m"" — likely pitch-to-fence, may overstate the rope. CONFLICT: cricket-media non-directional 63-70m (cricketcounsel 2026-07-29; sportsistan 2024-10-19); satellite kept as the only directional split. No date on page.",wikipedia:Sher-e-Bangla National Cricket Stadium
Dubai International Cricket Stadium,262,25.04667,55.21889,32,64,64,63,63,https://cricketboundary.com/grounds/dubai-intl-stadium/,,,"Satellite-measured ""straight boundary of 64 m and a square boundary of 63 m"". HARD CONFLICT: thesportsrush (2022-08-27) claims straight 65m but square ~80m; sportsunfold (2021-11-14) square 64-67m / straight 72m — sources disagree on which direction is longer; direction LOW CONFIDENCE. No date on page.",wikipedia:Dubai International Cricket Stadium
Sharjah Cricket Stadium,116,25.33083,55.42083,9,58,58,65,65,https://cricketboundary.com/grounds/sharjah/,,,"""straight boundary of 58 m and a square boundary of 65 m"" per published authority (ICC inspection/broadcast). Square>straight flagged but consistent with Sharjah short straight hits. CONFLICT: thesportsrush (2020-10-03 IPL config) reverses direction (square 51-61m, straight ~70m; 51m below plausibility band, not adopted). Ropes move per fixture.",wikipedia:Sharjah Cricket Stadium
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),108,23.48806,58.49389,113,59,59,57,57,https://cricketboundary.com/grounds/al-amerat-cricket-ground/,,,"Satellite-measured ""straight boundary of 59 m and a square boundary of 57 m"". Source does not distinguish Ministry Turf 1 from Turf 2 — numbers may not be Turf-1-specific. No date on page.",wikipedia:Oman Cricket Academy Ground
Melbourne Cricket Ground,95,-37.82000,144.98333,13,83.4,83.4,86.2,86.2,https://cricketboundary.com/grounds/mcg/,,,"""straight boundary of 83.4 m and a square boundary of 86.2 m"" per published authority (typical play-on rope, averaged both ends). Square>straight and 86.2m above the ~85m heuristic — flagged; MCG is the largest T20-era ground, physically plausible. Scale corroborated by austadiums fence-to-fence 173.6 x 148.4m. No date on page.",wikipedia:Melbourne Cricket Ground
Adelaide Oval,95,-34.91556,138.59611,23,80,80,62,63,https://thesportsrush.com/cricket-news-adelaide-oval-dimensions-adelaide-oval-boundary-length-and-ground-size-for-international-cricket/,2022-11-01,,"""huge straight boundary length to the tune of 80 meters ... Square of the wicket ... 62-63 meters on either side"". Matches known long-straight/short-square shape (wiki: 167 x 123m, unusually long and narrow). CONFLICT: thesportslite (2022-10-09) near-square 68/65 claim rejected as low-quality.",wikipedia:Adelaide Oval
Sylhet International Cricket Stadium,92,24.92083,91.86861,31,,,,,https://cricketledger.com/sylhet-international-cricket-stadium-pitch-report-boundary-length-more/,2025-02-17,,"Non-directional only: ""shortest boundary 59 meters & longest boundary 64 meters"" — no straight/square split given, columns left empty. A 74/94m claim failed plausibility and could not be loaded (domain dead); rejected.",wikipedia:Sylhet International Cricket Stadium
Sydney Cricket Ground,89,-33.89167,151.22472,43,80,80,68,68,https://thesportsrush.com/cricket-news-sydney-cricket-ground-boundary-length-in-meters-scg-boundary-size-and-ground-dimension/,2022-10-21,,"""straighter boundary is around 80 meters ... mid-wicket ... around 74 meters ... square boundaries ... around 68 meters"" — mid-wicket 74m noted, not mapped. Unverified snippets citing 93.72m straight (above rope band, likely fence) not recorded.",wikipedia:Sydney Cricket Ground
Udayana Cricket Ground,80,,,,,,,,,,,No wiki page or GeoData found; aggregator pages carry no location or dimensions (pitch-report.com fields blank). Associate ground in Bali — manual/satellite pass needed for coords; boundary geometry honest gap,
"Zahur Ahmed Chowdhury Stadium, Chattogram",73,22.35580,91.76792,5,60,70,60,70,https://thesportsrush.com/cricket-news-zahur-ahmed-chowdhury-stadium-chattogram-boundary-length-in-meters-chattogram-stadium-boundary-length-and-ground-size/,2022-12-10,,"""ground size ... 186 m X 136 m, with the straighter and square boundary dimensions ranging from 60-70 metres"" — ONE shared range named for both directions (Gaddafi precedent), weak directional evidence. Near-identical text at thesportslite (2022-12-10, 185m ground size) suggests shared origin.",wikipedia:Bir Shrestho Flight Lieutenant Matiur Rahman Cricket Stadium
"Bayuemas Oval, Kuala Lumpur",67,2.97806,101.43778,6,,,,,,,,,wikipedia:Bayuemas Oval
Harare Sports Club,66,-17.81407,31.05058,1493,,,,,,,,,wikipedia:Harare Sports Club
"Warner Park, Basseterre, St Kitts",59,17.29861,-62.72194,14,,,,,,,,"Same physical ground as 'Warner Park, Basseterre' — two corpus spellings; coords copied from sibling (own wiki search hit the town page); dedupe on any physical join",wikipedia:Warner Park Sporting Complex
"National Stadium, Karachi",59,24.89611,67.08139,47,,,,,,,,,"wikipedia:National Stadium, Karachi (page infobox; API GeoData query failed)"
Pallekele International Cricket Stadium,58,7.28028,80.72222,444,,,,,,,,,wikipedia:Pallekele International Cricket Stadium
Marsa Sports Club,57,35.87572,14.48764,7,,,,,,,,,wikipedia:Marsa Sports Club
Perth Stadium,55,-31.95111,115.88917,9,,,,,,,,,wikipedia:Perth Stadium
Rawalpindi Cricket Stadium,52,33.65139,73.07611,516,,,,,,,,,wikipedia:Rawalpindi Cricket Stadium (page infobox; API GeoData query failed)
"Providence Stadium, Guyana",51,6.75777,-58.17799,3,,,,,,,,,wikipedia:Providence Stadium
"Queen's Park Oval, Port of Spain",51,10.66739,-61.52370,12,,,,,,,,,wikipedia:Queen's Park Oval
"West End Park International Cricket Stadium, Doha",48,25.18917,51.46000,20,,,,,,,,,wikipedia:West End Park International Cricket Stadium
"Kensington Oval, Bridgetown",43,13.10505,-59.62258,4,,,,,,,,,wikipedia:Kensington Oval
"Warner Park, Basseterre",42,17.29861,-62.72194,14,,,,,,,,"Same physical ground as 'Warner Park, Basseterre, St Kitts' — two corpus spellings; dedupe on any physical join",wikipedia:Warner Park Sporting Complex
"County Ground, Hove",41,50.83000,-0.16417,25,,,,,,,,36 further corpus matches hide under the bare 'County Ground' name (city=Hove) — that bare name spans 6 physical grounds and is excluded from the registry (I7 candidate),"wikipedia:County Cricket Ground, Hove (page infobox; API GeoData query failed)"
Sydney Showground Stadium,41,-33.84306,151.06778,15,,,,,,,,,wikipedia:Sydney Showground Stadium
"Zayed Cricket Stadium, Abu Dhabi",70,24.39639,54.54056,5,73,73,65,65,https://cricketboundary.com/grounds/sheikh-zayed-stadium/,,,"Dimensions measured from current satellite imagery; straight 73 m, square 65 m, stated accuracy ±2 m; single values recorded as min=max; no date visible on page — Same physical ground as 'Sheikh Zayed Stadium, Abu Dhabi' (pass-3.5 corpus spelling); coords/geometry copied — dedupe on any physical join",wikipedia:Sheikh Zayed Cricket Stadium
Feroz Shah Kotla,63,28.63778,77.24306,211,68,68,65,65,https://thesportsrush.com/cricket-news-arun-jaitley-stadium-boundary-length-what-is-feroz-shah-kotla-delhi-ground-dimension-and-boundary-size-in-metre/,2022-10-10,,"This ground's straight boundaries are around 68 metres and ""the square boundaries are around 65 metres"". — Same physical ground as 'Arun Jaitley Stadium, Delhi' (pre-2019 name, pass-3.5 corpus spelling); coords/geometry copied — dedupe on any physical join",wikipedia:Arun Jaitley Cricket Stadium
